danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.466,0.413,0.615,0,0.343,0.812,-9.102,0.0492,108.016,Happy
0.476,0.0535,0.856,6.75E-06,0.0846,0.847,-3.764,0.161,158.671,Energetic
0.198,0.854,0.139,0.856,0.0773,0.106,-18.72,0.031,82.405,Calm
0.696,0.000855,0.677,0.000247,0.0646,0.551,-4.178,0.0554,150.125,Energetic
0.455,0.889,0.292,0,0.106,0.43,-6.792,0.0563,84.339,Sad
0.242,0.901,0.137,0.0105,0.167,0.0644,-16.332,0.0322,92.454,Sad
0.825,0.00735,0.925,0.808,0.057,0.567,-7.502,0.0463,123.025,Happy
0.686,0.0957,0.955,0.00621,0.0809,0.447,-3.665,0.113,123.978,Energetic
0.635,0.994,0.0302,0.952,0.107,0.237,-26.234,0.0401,83.222,Calm
0.689,0.000455,0.456,0.882,0.07,0.238,-12.307,0.0339,126,Happy
0.592,0.000295,0.932,7.59E-05,0.138,0.698,-4.491,0.0885,93.675,Energetic
0.855,0.0505,0.587,0.00714,0.105,0.64,-4.589,0.0336,111.97,Happy
0.512,0.215,0.977,0,0.343,0.731,-4.505,0.0671,120.165,Happy
0.515,0.0102,0.43,0.000141,0.129,0.104,-9.935,0.0369,91.841,Sad
0.542,0.935,0.189,0.91,0.0932,0.0755,-16.57,0.0398,116,Calm
0.379,0.0142,0.695,1.13E-05,0.196,0.432,-5.922,0.0705,193.672,Energetic
0.482,0.958,0.0257,0.923,0.104,0.144,-26.303,0.0323,109.98,Calm
0.43,0.985,0.256,0.867,0.106,0.173,-22.088,0.0641,133.955,Calm
0.391,0.969,0.231,0.954,0.116,0.0882,-17,0.0363,107.981,Calm
0.494,0.935,0.267,5.58E-05,0.128,0.166,-11.54,0.0308,115.117,Sad
0.639,0.78,0.492,0,0.117,0.666,-8.497,0.0288,87.033,Happy
0.722,0.161,0.696,0,0.0755,0.93,-11.095,0.0901,115.397,Happy
0.608,0.851,0.174,1.92E-05,0.0855,0.193,-8.796,0.0332,112.175,Sad
0.555,0.00291,0.98,0,0.279,0.643,-2.849,0.0947,114.078,Energetic
0.629,0.761,0.327,2.96E-05,0.103,0.381,-8.285,0.029,74.953,Sad
0.516,0.487,0.407,0.0235,0.252,0.17,-7.841,0.0283,74.894,Sad
0.556,0.0193,0.913,8.59E-06,0.346,0.73,-2.36,0.0437,96.184,Energetic
0.642,0.726,0.475,0.786,0.12,0.453,-11.404,0.0294,103.955,Sad
0.694,0.612,0.359,0.738,0.137,0.348,-16.105,0.0408,125.077,Sad
0.526,0.64,0.471,0.817,0.096,0.286,-11.965,0.0424,119.972,Calm
0.485,0.765,0.497,0.886,0.132,0.065,-10.022,0.0308,100.857,Calm
0.435,0.668,0.333,0.834,0.084,0.074,-15.885,0.0308,90.902,Calm
0.474,0.587,0.41,3.97E-06,0.114,0.37,-9.373,0.0644,125.085,Sad
0.587,0.000405,0.97,0.772,0.202,0.146,-4.512,0.216,128.069,Happy
0.532,0.924,0.382,0.61,0.134,0.0455,-17.683,0.0543,127.038,Calm
0.379,0.000169,0.652,0.0043,0.077,0.0724,-5.406,0.0325,121.035,Sad
0.296,0.000702,0.9,0,0.339,0.286,-4.918,0.0922,184.256,Energetic
0.27,0.939,0.0384,0.936,0.1,0.0708,-24.513,0.0361,59.81,Calm
0.434,0.0418,0.531,0.00021,0.0941,0.0935,-10.05,0.0305,156.155,Sad
0.604,0.0512,0.894,0.000315,0.234,0.415,-4.755,0.113,127.964,Energetic
0.701,0.119,0.95,0.00355,0.221,0.477,-3.026,0.0675,124.002,Energetic
0.545,0.785,0.478,0.00278,0.123,0.318,-7.035,0.0559,173.746,Sad
0.686,0.0398,0.632,2.20E-06,0.0686,0.88,-11.433,0.0353,118.965,Happy
0.563,0.0472,0.865,0.000191,0.77,0.601,-5.277,0.16,156.271,Happy
0.602,0.00398,0.784,0.0852,0.0931,0.918,-7.976,0.0313,133.019,Happy
0.604,0.0011,0.789,0.828,0.368,0.348,-6.259,0.0273,122.032,Sad
0.831,0.594,0.544,0.00389,0.0736,0.856,-9.288,0.0837,108.177,Happy
0.591,8.74E-05,0.963,0.000107,0.0781,0.609,-6.489,0.0531,125.03,Energetic
0.511,0.0108,0.622,4.51E-06,0.127,0.425,-5.727,0.0242,99.934,Sad
0.616,0.71,0.202,0.678,0.0871,0.0773,-14.144,0.0383,139.857,Calm
0.754,0.0186,0.804,0.0604,0.207,0.972,-7.189,0.0368,132.967,Happy
0.354,0.000237,0.982,0.000294,0.204,0.194,-3.026,0.168,143.772,Energetic
0.524,0.0149,0.919,7.05E-05,0.131,0.848,-5.505,0.0436,87.931,Energetic
0.605,0.757,0.319,0.00237,0.116,0.273,-10.892,0.0306,109.603,Sad
0.653,0.00775,0.907,0.82,0.342,0.238,-5.877,0.11,128.079,Energetic
0.339,0.937,0.142,0.91,0.0847,0.121,-21.613,0.0416,109.98,Calm
0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,Sad
0.749,0.0674,0.699,0.00192,0.0763,0.935,-13.108,0.0371,128.904,Happy
0.158,0.965,0.0963,0.105,0.0752,0.0395,-18.225,0.0398,71.012,Sad
0.59,0.277,0.828,5.57E-06,0.0868,0.636,-6.28,0.0439,111.353,Happy
0.553,0.862,0.24,0.946,0.0932,0.164,-19.522,0.0304,128.986,Calm
0.602,0.0992,0.926,0.0449,0.241,0.574,-1.62,0.0897,100.014,Energetic
0.651,0.199,0.503,0.644,0.0781,0.558,-10.906,0.0323,133.044,Sad
0.211,0.903,0.0147,0.935,0.342,0.0667,-22.964,0.0456,169.899,Calm
0.572,0.000181,0.99,0.000295,0.118,0.397,-1.992,0.066,106.912,Energetic
0.32,0.64,0.256,0.862,0.112,0.191,-17.98,0.0445,115.011,Calm
0.444,0.449,0.497,0.722,0.081,0.25,-12.601,0.0383,99.093,Calm
0.464,0.0665,0.38,0.898,0.114,0.0558,-8.052,0.0279,100.006,Calm
0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,Happy
0.879,0.019,0.908,2.62E-06,0.309,0.759,-4.422,0.126,123.036,Energetic
0.282,0.568,0.476,0.0185,0.157,0.186,-6.524,0.0274,187.604,Sad
0.813,0.245,0.619,0.0151,0.113,0.774,-8.203,0.0294,114.58,Happy
